aun,school_num,location_id,school_name,school_name_label,street_address,zip_code,phone_number,grade_level,grade_org,enrollment,type,type_specific,objectid,Shape__Area,Shape__Length
126515001,3697,5370,"MOFFET, JOHN SCHOOL",JOHN MOFFET SCHOOL,127 W OXFORD ST,19122,(215) 400-7390,ELEMENTARY SCHOOL,K-5,212,1,DISTRICT,114,15650.87890625,518.357648202267
126515001,7023,4030,ENGINEERING & SCIENCE HIGH,CARVER HIGH SCHOOL OF ENGINEERING AND SCIENCE,1600 W NORRIS ST,19121,(215) 400-7380,MIDDLE/HIGH,7-12,906,1,DISTRICT,115,31673.51171875,716.947274349361
226512672,,,HUNTING PARK CHRISTIAN ACADEMY,HUNTING PARK CHRISTIAN ACADEMY,4400 N 6TH ST,19140,(267) 331-8002,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE,116,1060.76171875,151.039745990763
226511702,,,GERMANTOWN FRIENDS SCHOOL,GERMANTOWN FRIENDS SCHOOL,31 W COULTER ST,19144,(215) 951-2300,ELEMENTARY/MIDDLE/HIGH,PREK-12,,3,PRIVATE,117,41991.99609375,906.451287418588
300517255,,,WALDORF SCHOOL OF PHILADELPHIA,WALDORF SCHOOL OF PHILADELPHIA,6000 WAYNE AVE,19144,(215) 248-1662,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE,118,9075.35546875,400.683552153354
126515001,3765,8260,FOX CHASE SCHOOL,FOX CHASE SCHOOL,500 RHAWN ST,19111,(215) 400-3170,ELEMENTARY SCHOOL,K-5,500,1,DISTRICT,119,72464.359375,1121.32829848207
326517070,,,CHILDREN'S HOUSE OF PHILADELPHIA,CHILDREN'S HOUSE OF PHILADELPHIA,2611 S BROAD ST,19148,(267) 455-0288,PRE-K/KINDERGARTEN,PREK-K,,3,PRIVATE,120,905.04296875,147.307295539731
126513100,7564,3307,DE HOSTOS CHARTER SCHOOL,EUGENIO MARIA DE HOSTOS CHARTER SCHOOL,6301 N 2ND ST,19120,(215) 455-2300,ELEMENTARY/MIDDLE,K-8,697,2,CHARTER,121,232122.47265625,1931.12892460699
126519433,8152,3408,MASTERY CHARTER @ MANN,MASTERY CHARTER SCHOOL AT MANN,5376 W BERKS ST,19131,(215) 581-5616,ELEMENTARY SCHOOL,K-6,549,2,CHARTER,122,9994.83984375,402.192612305996
226510004,,,LOGAN HOPE SCHOOL,LOGAN HOPE SCHOOL,4934 N 13TH ST,19141,(215) 455-7442,ELEMENTARY/MIDDLE,K-8,,3,PRIVATE,123,650.41015625,112.23134270228
126515001,3848,6010,CENTRAL HIGH SCHOOL,CENTRAL HIGH SCHOOL,1700 W OLNEY AVE,19141,(215) 400-3590,HIGH SCHOOL,9-12,2343,1,DISTRICT,124,113083.671875,1402.05023631988
300513605,,,FOX CHASE FARMS,FOX CHASE FARMS,8500 PINE RD,19111,(215) 400-3310,UNGRADED,UNGRADED,,1,DISTRICT,125,191057.60546875,2136.87969279791
126515001,3614,1410,"RHOADS, JAMES SCHOOL",JAMES RHOADS SCHOOL,4901 PARRISH ST,19139,(215) 400-7680,ELEMENTARY/MIDDLE,K-8,415,1,DISTRICT,126,10128.30859375,467.85574832477
126515001,3749,7390,"MORRISON, ANDREW J. SCHOOL",ANDREW J. MORRISON SCHOOL,5100 N 3RD ST,19120,(215) 400-3780,ELEMENTARY/MIDDLE,K-8,484,1,DISTRICT,127,9701.6171875,394.899966831097
126515001,7239,7100,"COOKE, JAY ELEMENTARY SCHOOL",JAY COOKE SCHOOL,1300 W LOUDON ST,19141,(215) 400-8330,ELEMENTARY/MIDDLE,K-8,386,1,DISTRICT,128,12897.109375,455.215449851716
126515001,7782,5080,PARKWAY CENTER CITY MIDDLE COLLEGE HIGH SCHOOL,PARKWAY CENTER CITY MIDDLE COLLEGE HIGH SCHOOL,540 N 13TH ST,19123,(215) 400-7620,HIGH SCHOOL,9-12,449,1,DISTRICT,129,9013.9609375,435.148020862298
126515001,3654,2640,SOUTHWARK SCHOOL,SOUTHWARK SCHOOL,1835 S 9TH ST,19148,(215) 400-8280,ELEMENTARY/MIDDLE,K-8,889,1,DISTRICT,130,12520.8515625,473.300748959103
126515001,7255,4140,STRAWBERRY MANSION HIGH SCHOOL,STRAWBERRY MANSION HIGH SCHOOL,3133 RIDGE AVE,19121,(215) 400-7500,HIGH SCHOOL,9-12,275,1,DISTRICT,131,30937.296875,697.061217351928
126515001,3630,4570,"MEADE, GEN. GEORGE G. SCHOOL",GENERAL GEORGE G. MEADE SCHOOL,1600 N 18TH ST,19121,(215) 400-7310,ELEMENTARY/MIDDLE,K-8,256,1,DISTRICT,132,10492.52734375,439.000664926305
126515001,,,ONE BRIGHT RAY MANSION,ONE BRIGHT RAY -  MANSION,3133 RIDGE AVE,19121,(215) 999-3110,HIGH SCHOOL,9-12,105,1,CONTRACTED,133,30937.296875,697.061217351928
126515001,,,ONE BRIGHT RAY MANSION EVENING,ONE BRIGHT RAY -  MANSION EVENING,3133 RIDGE AVE,19121,(215) 999-3110,HIGH SCHOOL,9-12,75,1,CONTRACTED,134,30937.296875,697.061217351928
126515001,3703,5420,"WELSH, JOHN SCHOOL",JOHN WELSH SCHOOL,2331 N 4TH ST,19133,(215) 400-7130,ELEMENTARY/MIDDLE,K-8,185,1,DISTRICT,135,5720.59375,363.486223003642
126515001,7070,5150,"BODINE, WILLIAM W. HIGH SCHOOL",WILLIAM W. BODINE HIGH SCHOOL,1101 N 4TH ST,19123,(215) 400-7630,HIGH SCHOOL,9-12,523,1,DISTRICT,136,7459.828125,365.427234809376
226512952,,,LITTLE FLOWER CATHOLIC SCHOOL,LITTLE FLOWER CATHOLIC SCHOOL,1000 W LYCOMING ST,19140,(215) 455-6900,HIGH SCHOOL,9-12,,3,ARCHDIOCESE,137,34030.65625,840.193527485021
126515001,5122,6410,COOK-WISSAHICKON SCHOOL,COOK-WISSAHICKON SCHOOL,201 E SALAIGNAC ST,19128,(215) 400-3430,ELEMENTARY/MIDDLE,K-8,426,1,DISTRICT,138,20970.08984375,631.371015042916
126515001,3708,6210,"EDMONDS, FRANKLIN S. SCHOOL",FRANKLIN S. EDMONDS SCHOOL,8025 THOURON AVE,19150,(215) 400-3370,ELEMENTARY/MIDDLE,K-8,376,1,DISTRICT,139,40543.625,807.512076155875
126515001,3750,7400,OLNEY ELEMENTARY SCHOOL,OLNEY SCHOOL,5301 N WATER ST,19120,(215) 400-3790,ELEMENTARY/MIDDLE,K-8,666,1,DISTRICT,140,8886.5546875,381.398526635075
,,8450,YES PHILLY,YES PHILLY,2709 N BROAD ST,19132,(215) 769-0340,HIGH SCHOOL,9-12,127,1,CONTRACTED,141,2532.45703125,276.994807457191
,,2530,PHILADELPHIA JUVENILE JUSTICE SERVICES CENTER,PHILADELPHIA JUVENILE JUSTICE SERVICES CENTER SCHOOL,91 N 48TH ST,19139,(215) 683-3495,ELEMENTARY/MIDDLE/HIGH,K-12,124,1,DISTRICT,142,34474.3671875,800.294722398915
126510001,7677,3360,RUSSELL BYERS CHARTER SCHOOL,RUSSELL BYERS CHARTER SCHOOL,1911 ARCH ST,19103,(215) 972-1700,ELEMENTARY/MIDDLE,K-8,681,2,CHARTER,143,2942.3359375,281.025561600885
126515001,3801,8410,"POLLOCK, ROBERT B. SCHOOL",ROBERT B. POLLOCK SCHOOL,2875 WELSH RD,19152,(215) 400-3210,ELEMENTARY SCHOOL,K-8,900,1,DISTRICT,144,51881.55859375,1019.39967773373
126515001,3647,2580,"KIRKBRIDE, ELIZA B. SCHOOL",ELIZA B. KIRKBRIDE SCHOOL,1501 S 7TH ST,19147,(215) 400-7980,ELEMENTARY/MIDDLE,K-8,481,1,DISTRICT,145,4476.96875,291.877881592092
126515001,7227,2520,"JENKS, ABRAM SCHOOL",ABRAM S. JENKS SCHOOL,2501 S 13TH ST,19148,(215) 400-8240,ELEMENTARY SCHOOL,K-5,272,1,DISTRICT,146,4986.3125,346.656763849478
126513400,7647,3336,PHILADELPHIA PERFORMING ARTS-BROAD ST,PHILADELPHIA PERFORMING ARTS: A STRING THEORY CHARTER SCHOOL,2600 S BROAD ST,19145,(215) 551-4000,ELEMENTARY SCHOOL,2-5,2484,2,CHARTER,147,2228.0078125,200.525505372797
126515001,3724,7530,"ROWEN, WILLIAM SCHOOL",WILLIAM ROWEN SCHOOL,6841 N 19TH ST,19126,(215) 400-3550,ELEMENTARY SCHOOL,K-5,272,1,DISTRICT,148,18504.71484375,656.889283858879
226510086,,,PHILADELPHIA CLASSICAL SCHOOL,PHILADELPHIA CLASSICAL SCHOOL,3301 S 20TH ST,19145,(267) 990-2698,ELEMENTARY/MIDDLE/HIGH,K-12,,3,PRIVATE,149,12507.24609375,477.507823244439
,,2310,ACHIEVE ACADEMY,ACHIEVE ACADEMY,1435 N 26TH ST,19121,(215) 684-5080,MIDDLE/HIGH,6-12,49,1,CONTRACTED,150,6049.29296875,394.943005270455
,,8080,EXCEL ACADEMY NORTH,EXCEL ACADEMY NORTH,1435 N 26TH ST,19121,(215) 684-5080,HIGH SCHOOL,9-12,189,1,CONTRACTED,151,6049.29296875,394.943005270455
126515001,6822,2290,FRANKLIN LEARNING CENTER,FRANKLIN LEARNING CENTER,616 N 15TH ST,19130,(215) 400-7570,HIGH SCHOOL,9-12,975,1,DISTRICT,152,12514.6484375,472.737877360623
126515001,7663,7370,"WASHINGTON, GROVER JR. MIDDLE","GROVER WASHINGTON, JR. SCHOOL",201 E OLNEY AVE,19120,(215) 400-3820,MIDDLE SCHOOL,5-8,332,1,DISTRICT,153,35244.3125,830.043971769806
126510008,7684,3359,RICHARD ALLEN PREPARATORY,RICHARD ALLEN PREPARATORY CHARTER SCHOOL,2601 S 58TH ST,19143,(215) 878-5144,MIDDLE SCHOOL,5-8,309,2,CHARTER,154,16551.265625,555.438671325686
192518422,8126,3404,TACONY ACADEMY CHARTER SCHOOL,TACONY ACADEMY CHARTER SCHOOL,1330 RHAWN ST,19111,(215) 742-5100,ELEMENTARY/MIDDLE/HIGH,K-8,1090,2,CHARTER,155,28195.91796875,696.733834680829
126515001,3771,8360,RHAWNHURST SCHOOL,RHAWNHURST SCHOOL,7809 CASTOR AVE,19152,(215) 400-3220,ELEMENTARY SCHOOL,K-5,584,1,DISTRICT,156,52542.890625,935.546174936894
126515001,6765,7490,PRINCE HALL SCHOOL,PRINCE HALL SCHOOL,6101 N GRATZ ST,19141,(215) 400-3690,ELEMENTARY SCHOOL,K-5,317,1,DISTRICT,157,23440.58203125,646.369977499079
126515001,3717,6440,"LINGELBACH, ANNA L. SCHOOL",ANNA L. LINGELBACH SCHOOL,6340 WAYNE AVE,19144,(215) 400-3630,ELEMENTARY/MIDDLE,K-8,366,1,DISTRICT,158,64331.19921875,1086.61094573095
126510022,7909,3383,MASTERY CHARTER-SHOEMAKER,MASTERY CHARTER SCHOOL AT SHOEMAKER,5301 MEDIA ST,19131,(267) 296-7111,MIDDLE/HIGH,7-12,733,2,CHARTER,159,9902.05078125,433.730571740393
126515001,8121,8460,PHILADELPHIA LEARNING ACADEMY-WEST,PHILADELPHIA LEARNING ACADEMY WEST,4300 WESTMINSTER AVE,19104,(215) 400-9080,HIGH SCHOOL,9-12,60,1,DISTRICT,160,11803.94140625,440.261519375894
,,3040,EXCEL MIDDLE YEARS ACADEMY,EXCEL MIDDLE YEARS ACADEMY,4300 WESTMINSTER AVE,19104,(215) 436-0307,MIDDLE SCHOOL,6-8,24,1,CONTRACTED,161,11803.94140625,440.261519375894
,,8690,CROSSROADS ACCELERATED ACADEMY,CROSSROADS ACCELERATED ACADEMY,4300 WESTMINSTER AVE,19104,(215) 400-9070,MIDDLE/HIGH,7-10,55,1,DISTRICT,162,11803.94140625,440.261519375894
226514102,,,MERCY CAREER AND TECHNICAL HIGH SCHOOL,MERCY CAREER AND TECHNICAL HIGH SCHOOL,2900 W HUNTING PARK AVE,19129,(215) 226-1225,HIGH SCHOOL,9-12,,3,PRIVATE,163,11933.3828125,530.156426044145
182514568,7979,3389,KEYSTONE ACADEMY CHARTER,KEYSTONE ACADEMY CHARTER SCHOOL,4521 LONGSHORE AVE,19135,(215) 332-2111,ELEMENTARY/MIDDLE,K-8,649,2,CHARTER,164,8933.234375,392.011996148741
126515001,7234,8350,"SPRUANCE, GILBERT SCHOOL",GILBERT SPRUANCE SCHOOL,6401 HORROCKS ST,19149,(215) 400-3290,ELEMENTARY/MIDDLE,K-8,1259,1,DISTRICT,165,43785.19140625,838.088641227013
126515001,3602,1250,"CATHARINE, JOSEPH SCHOOL",JOSEPH W. CATHARINE SCHOOL,6600 CHESTER AVE,19142,(215) 400-8150,ELEMENTARY SCHOOL,K-5,377,1,DISTRICT,166,13377.06640625,492.032951088009
,,3404,TACONY ACADEMY CHARTER SCHOOL,TACONY ACADEMY CHARTER SCHOOL (HIGH SCHOOL),6201 KEYSTONE ST,19135,(215) 515-5900,HIGH SCHOOL,9-12,,2,CHARTER,167,21201.296875,648.193938423389
126515001,4868,2390,"MORRIS, ROBERT SCHOOL",ROBERT MORRIS SCHOOL,2600 W THOMPSON ST,19121,(215) 400-7320,ELEMENTARY/MIDDLE,K-8,216,1,DISTRICT,168,6162.83203125,315.431819162818
126510004,7685,3335,PEOPLE FOR PEOPLE,PEOPLE FOR PEOPLE CHARTER SCHOOL,800 N BROAD ST,19130,(215) 763-7060,ELEMENTARY/MIDDLE/HIGH,K-12,556,2,CHARTER,169,1515.2734375,175.303442476402
126513070,,3308,INQUIRY CHARTER SCHOOL,INQUIRY CHARTER SCHOOL,1301 BELMONT AVE,19104,(215) 386-5768,ELEMENTARY SCHOOL,K-5,272,2,CHARTER,170,18997.98828125,673.034963516218
126516457,8153,3407,MASTERY CHARTER @ HARRITY,MASTERY CHARTER SCHOOL AT HARRITY,5601 CHRISTIAN ST,19143,(215) 471-2908,ELEMENTARY/MIDDLE,K-8,753,2,CHARTER,171,11407.3828125,434.200096944358
226518722,,,ST MARTHA SCHOOL,ST MARTHA SCHOOL,11321 ACADEMY RD,19154,(215) 632-0320,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE,172,23622.8984375,705.941346212971
226510081,,,OLNEY CHRISTIAN SCHOOL,OLNEY CHRISTIAN SCHOOL,425 E ROOSEVELT BLVD,19120,(215) 324-2323,ELEMENTARY SCHOOL,K-8,,3,PRIVATE,173,1930.13671875,177.790405714774
126515001,3770,8310,"MOORE, J. HAMPTON SCHOOL",J. HAMPTON MOORE SCHOOL,6900 SUMMERDALE AVE,19111,(215) 400-3180,ELEMENTARY SCHOOL,K-5,1162,1,DISTRICT,174,39088.52734375,793.504268578743
126513210,7580,3326,UNIVERSAL INSTITUTE,UNIVERSAL INSTITUTE CHARTER SCHOOL,801 S 15TH ST,19146,(215) 732-2876,ELEMENTARY/MIDDLE,K-8,565,2,CHARTER,175,567.5625,106.742668599426
226518902,,,ST MARYS INTERPAROCHIAL SCHOOL,ST MARYS INTERPAROCHIAL SCHOOL,440 LOCUST ST,19106,(215) 923-7522,ELEMENTARY/MIDDLE,K-8,,3,ARCHDIOCESE,176,1055.20703125,130.100504612008
226510452,,,ARCHBISHOP RYAN HIGH SCHOOL,ARCHBISHOP RYAN HIGH SCHOOL,11201 ACADEMY RD,19154,(215) 637-1800,HIGH SCHOOL,9-12,,3,ARCHDIOCESE,177,338749.8203125,2747.12828853146
126515001,,5180,VAUX HIGH SCHOOL,VAUX HIGH SCHOOL: A BIG PICTURE,2300 W MASTER ST,19121,(267) 507-9690,HIGH SCHOOL,9-12,335,1,DISTRICT,178,15131.4140625,508.053355546855
226511132,,,THE CITY SCHOOL,THE CITY SCHOOL,910 N 6TH ST,19123,(215) 731-1930,MIDDLE/HIGH,6-12,,3,PRIVATE,179,10617.73828125,458.8264889705
300516590,,,OVERBROOK SCHOOL FOR BLIND,OVERBROOK SCHOOL FOR BLIND,6333 MALVERN AVE,19151,(215) 877-0313,ELEMENTARY/MIDDLE/HIGH,PREK-12,,3,PRIVATE,180,93667.828125,1372.68144336091
126515001,6544,5440,"WILLARD, FRANCES E. SCHOOL",FRANCES E. WILLARD SCHOOL,1930 E ELKHART ST,19134,(215) 400-7180,ELEMENTARY SCHOOL,K-4,352,1,DISTRICT,181,34333.5546875,740.840347458072
126515001,5187,4300,"HESTON, EDWARD SCHOOL",EDWARD HESTON SCHOOL,1621 N 54TH ST,19131,(215) 400-7290,ELEMENTARY/MIDDLE,K-8,219,1,DISTRICT,182,22273.50390625,640.790228650017
104510394,8031,3395,ANTONIA PANTOJA CHARTER SCHOOL,ANTONIA PANTOJA CHARTER SCHOOL,4101 N AMERICAN ST,19140,(215) 329-2733,ELEMENTARY/MIDDLE,K-8,746,2,CHARTER,183,31889.8515625,919.277123255889
126515001,3712,6250,"HENRY, CHARLES W. SCHOOL",CHARLES W. HENRY SCHOOL,601 CARPENTER LN,19119,(215) 400-3480,ELEMENTARY/MIDDLE,K-8,550,1,DISTRICT,184,17480.5859375,689.628723214485
126515001,,8320,JOHN HANCOCK DEMONSTRATION MIDDLE SCHOOL- LABRUM CAMPUS,JOHN HANCOCK DEMONSTRATION MIDDLE SCHOOL- LABRUM CAMPUS,10800 HAWLEY RD,19114,(215) 400-3122,MIDDLE SCHOOL,6-8,,1,DISTRICT,185,77151.95703125,1365.88140470718
126515001,3851,2010,"FRANKLIN, BENJAMIN HIGH SCHOOL",BENJAMIN FRANKLIN HIGH SCHOOL,550 N BROAD ST,19130,(215) 400-7600,HIGH SCHOOL,9-12,530,1,DISTRICT,186,11938.203125,465.364958760512
126515001,7906,2650,SCIENCE LEADERSHIP ACADEMY,SCIENCE LEADERSHIP ACADEMY,550 N BROAD ST,19130,(215) 400-7830,HIGH SCHOOL,9-12,510,1,DISTRICT,187,11938.203125,465.364958760512
126513150,7574,3328,"MATH, SCIENCE AND TECHNOLOGY","MATHEMATICS, SCIENCE, AND TECHNOLOGY COMMUNITY CHARTER SCHOOL (MAST)",1800 BYBERRY RD,19116,(267) 348-1100,ELEMENTARY/MIDDLE/HIGH,K-12,1486,2,CHARTER,188,31769,759.00013578351
226512992,,,LOTUS ACADEMY,LOTUS ACADEMY,340 E HAINES ST,19144,(215) 438-7500,ELEMENTARY SCHOOL,PREK-4,,3,PRIVATE,189,976.5,132.086219982846
126515001,5124,5590,"WEBSTER, JOHN H. SCHOOL",JOHN H. WEBSTER SCHOOL,3400 FRANKFORD AVE,19134,(215) 400-7170,ELEMENTARY SCHOOL,K-5,413,1,DISTRICT,190,20241.73828125,576.604352456378
126515001,3859,2000,SOUTH PHILADELPHIA HIGH SCHOOL,SOUTH PHILADELPHIA HIGH SCHOOL,2101 S BROAD ST,19148,(215) 400-8400,HIGH SCHOOL,9-12,647,1,DISTRICT,191,31761.015625,719.753595195725
126515001,,3880,SOUTH PHILADELPHIA HIGH SCHOOL EOP,SOUTH PHILADELPHIA HIGH SCHOOL EOP,2101 S BROAD ST,19148,(215) 400-8400,HIGH SCHOOL,9-12,121,1,DISTRICT,192,31761.015625,719.753595195725
126515001,3653,2630,"SHARSWOOD, GEORGE SCHOOL",GEORGE W. SHARSWOOD SCHOOL,2300 S 2ND ST,19148,(215) 400-8270,ELEMENTARY/MIDDLE,K-8,317,1,DISTRICT,193,12516.39453125,477.173989713916
126515001,3635,2450,"STANTON, EDWIN M. SCHOOL",EDWIN M. STANTON SCHOOL,901 S 17TH ST,19146,(215) 400-7960,ELEMENTARY/MIDDLE,K-8,316,1,DISTRICT,194,4579.9921875,282.17484962541
226510023,,,LASALLE ACADEMY,LASALLE ACADEMY,1432-36 N 2ND ST,19122,(215) 739-5804,ELEMENTARY/MIDDLE,3-8,,3,PRIVATE,195,1663.71484375,197.872432690321
126515001,3650,2590,"NEBINGER, GEORGE W. SCHOOL",GEORGE W. NEBINGER SCHOOL,601 CARPENTER ST,19147,(215) 400-8110,ELEMENTARY/MIDDLE,K-8,399,1,DISTRICT,196,7478.6875,382.296378686395
126515001,3706,6200,"DAY, ANNA B. SCHOOL",ANNA B. DAY SCHOOL,6324 CRITTENDEN ST,19138,(215) 400-3520,ELEMENTARY/MIDDLE,K-8,289,1,DISTRICT,197,31847.9765625,740.226462273388
126515001,3659,2720,VARE-WASHINGTON ELEMENTARY,VARE-WASHINGTON SCHOOL,1198 S 5TH ST,19147,(215) 400-8120,ELEMENTARY/MIDDLE,K-8,370,1,DISTRICT,198,7641.765625,356.924071639848
126518004,,3428,G.L.A. CHARTER @ HUEY,GLOBAL LEADERSHIP ACADEMY AT HUEY,5200 PINE ST,19143,(215) 471-2978,ELEMENTARY/MIDDLE,K-8,611,2,CHARTER,199,11128.18359375,505.255200072896
126514059,,3437,KIPP NORTH PHILADELPHIA CHARTER SCHOOL,KIPP NORTH PHILADELPHIA ACADEMY,2539 N 16TH ST,19132,(267) 758-2509,ELEMENTARY SCHOOL,K-8,705,2,CHARTER,200,8074.625,370.021098987941
151514721,7961,3393,MASTERY CHARTER @ PICKETT,MASTERY CHARTER SCHOOL AT PICKETT,5700 WAYNE AVE,19144,(215) 866-9000,MIDDLE/HIGH,6-12,903,2,CHARTER,201,55168.45703125,1027.19786624476
126515001,3738,7260,ELLWOOD SCHOOL,ELLWOOD SCHOOL,6701 N 13TH ST,19126,(215) 400-3540,ELEMENTARY SCHOOL,K-5,252,1,DISTRICT,202,19423.703125,625.603526818033
126513480,7672,3332,MARIANA BRACETTI ACADEMY,MARIANA BRACETTI ACADEMY CHARTER SCHOOL,1840 TORRESDALE AVE,19124,(215) 291-4436,ELEMENTARY/MIDDLE/HIGH,K-12,1520,2,CHARTER,203,37230.34765625,935.89678669232
126515001,3818,2160,"FURNESS, HORACE HIGH SCHOOL",FURNESS HIGH SCHOOL,1900 S 3RD ST,19148,(215) 400-8300,HIGH SCHOOL,9-12,836,1,DISTRICT,204,15250.13671875,510.311279839246
126515001,3688,5260,"ELKIN, LEWIS SCHOOL",LEWIS ELKIN SCHOOL,3199 D ST,19134,(215) 400-7140,ELEMENTARY SCHOOL,K-4,431,1,DISTRICT,205,11197.05078125,428.668775158551
126515001,3760,8370,"COMLY, WATSON SCHOOL",WATSON COMLY SCHOOL,1001 BYBERRY RD,19116,(215) 400-3010,ELEMENTARY SCHOOL,K-5,660,1,DISTRICT,206,36571.81640625,771.789979569966
226514122,,,CREFELD SCHOOL,CREFELD SCHOOL,8836 CREFELD ST,19118,(215) 242-5545,MIDDLE/HIGH,7-12,,3,PRIVATE,207,27473.98828125,678.478286564431
226510064,,,SPRING GARDEN ACADEMY - TIOGA,SPRING GARDEN ACAD - TIOGA,3501-05 N 17TH ST,19140,(215) 226-1000,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE,208,2630.68359375,216.007336681102
126510005,7748,3365,GREEN WOODS CHARTER SCHOOL,GREEN WOODS CHARTER SCHOOL,468 DOMINO LN,19128,(215) 482-6337,ELEMENTARY/MIDDLE,K-8,716,2,CHARTER,209,36904.265625,1125.58661216444
126510006,7722,3357,WEST PHILADELPHIA ACHIEVEMENT,WEST PHILADELPHIA ACHIEVEMENT CHARTER SCHOOL,6701 CALLOWHILL ST,19151,(215) 476-6471,ELEMENTARY SCHOOL,K-5,613,2,CHARTER,210,31645.26171875,717.008776255989
126515001,8328,8560,THE WORKSHOP SCHOOL,THE WORKSHOP SCHOOL,221 S HANSON ST,19139,(215) 400-7730,HIGH SCHOOL,9-12,233,1,DISTRICT,211,2442.171875,211.694486204851
126515001,5292,4440,"ALLEN, DR. ETHEL SCHOOL",DR. ETHEL ALLEN SCHOOL,3200 W LEHIGH AVE,19132,(215) 400-7040,ELEMENTARY/MIDDLE,K-8,274,1,DISTRICT,212,38334.296875,793.984331227749
126515001,3720,6320,"MIFFLIN, THOMAS SCHOOL",THOMAS MIFFLIN SCHOOL,3624 CONRAD ST,19129,(215) 400-3830,ELEMENTARY/MIDDLE,K-8,396,1,DISTRICT,213,22109.328125,836.445185258297
126519434,8195,3417,UNIVERSAL AUDENRIED CHARTER,UNIVERSAL CHARTER SCHOOL AT AUDENRIED,3301 TASKER ST,19145,(215) 952-4801,HIGH SCHOOL,9-12,606,2,CHARTER,214,30185.671875,690.224589213914
126515001,6675,6060,"KING, MARTIN LUTHER HIGH SCHOOL",MARTIN LUTHER KING HIGH SCHOOL,6100 STENTON AVE,19138,(215) 400-3500,HIGH SCHOOL,9-12,604,1,DISTRICT,215,118822.3515625,1748.95076318958
126515001,8143,5700,KENSINGTON HIGH SCHOOL,KENSINGTON HIGH SCHOOL,2051 E CUMBERLAND ST,19125,(215) 400-7700,HIGH SCHOOL,9-12,447,1,DISTRICT,216,13761.40234375,482.571308810105
126515001,6548,5070,PARKWAY-NORTHWEST HIGH SCHOOL,PARKWAY NORTHWEST HIGH SCHOOL,6200 CRITTENDEN ST,19138,(215) 400-3390,HIGH SCHOOL,9-12,248,1,DISTRICT,217,23448.1328125,670.781143311945
226511232,,,JUBILEE SCHOOL,JUBILEE SCHOOL,4211 CHESTER AVE,19104,(215) 387-7592,ELEMENTARY SCHOOL,PREK-6,,3,PRIVATE,218,1516.76171875,206.806746110804
326511965,,,LITTLE CITY MONTESSORI,LITTLE CITY MONTESSORI,1401 N 5TH ST,19122,(215) 764-0633,PRE-K/KINDERGARTEN,PREK-K,,3,PRIVATE,219,3604.81640625,260.388233678633
126515001,6824,8160,BALDI MIDDLE SCHOOL,BALDI SCHOOL,8801 VERREE RD,19115,(215) 400-3090,MIDDLE SCHOOL,6-8,1424,1,DISTRICT,220,105405.296875,1416.68498476624
126515001,3731,8390,"FITZPATRICK, A. L. SCHOOL",A.L. FITZPATRICK SCHOOL,11061 KNIGHTS RD,19154,(215) 400-3060,ELEMENTARY/MIDDLE,K-8,868,1,DISTRICT,221,116632.4765625,1449.63993735397
126515001,3755,7440,"TAYLOR, BAYARD SCHOOL",BAYARD TAYLOR SCHOOL,3698 N RANDOLPH ST,19140,(215) 400-3880,ELEMENTARY SCHOOL,K-5,359,1,DISTRICT,222,12136.8984375,523.437973666269
226512762,,,ISLAMIC EDUCATION SCHOOL,ISLAMIC EDUCATION SCHOOL,4431-39 WALNUT ST,19104,(215) 387–5230,ELEMENTARY SCHOOL,K-8,,3,PRIVATE,223,1888.75,174.491311788076
126515001,3782,1260,"COMEGYS, BENJAMIN B. SCHOOL",BENJAMIN B. COMEGYS SCHOOL,5100 GREENWAY AVE,19143,(215) 400-7860,ELEMENTARY/MIDDLE,K-8,213,1,DISTRICT,224,14446.1328125,500.62051682795
126515001,3850,7010,FRANKFORD HIGH SCHOOL,FRANKFORD HIGH SCHOOL,5000 OXFORD AVE,19124,(215) 400-7200,HIGH SCHOOL,9-12,908,1,DISTRICT,225,31860.89453125,782.239518668743
126519644,8259,3420,MASTERY CHARTER @ CLEVELAND,MASTERY CHARTER SCHOOL AT CLEVELAND,3701 N 19TH ST,19140,(215) 227-5042,ELEMENTARY/MIDDLE,K-8,699,2,CHARTER,226,4584.9921875,271.227753993232
126515001,3618,2210,BACHE-MARTIN SCHOOL,BACHE-MARTIN SCHOOL,2201 BROWN ST,19130,(215) 400-7550,ELEMENTARY/MIDDLE,K-8,622,1,DISTRICT,227,13246.01953125,470.740212992072
126515001,3719,6310,"MCCLOSKEY, JOHN F. SCHOOL",JOHN F. MCCLOSKEY SCHOOL,8500 PICKERING ST,19150,(215) 400-3380,ELEMENTARY/MIDDLE,K-8,217,1,DISTRICT,228,37928.22265625,792.916735536327
126515001,3762,8230,"CROSSAN, KENNEDY C. SCHOOL",KENNEDY C. CROSSAN SCHOOL,7350 BINGHAM ST,19111,(215) 400-3160,ELEMENTARY SCHOOL,K-5,318,1,DISTRICT,229,5619.4453125,306.469353870128
